Idade,Gênero,Area_Setor,Modelo_Trabalho,Autonomia_Trabalho,Horas_Extras_Semana,Reunioes_Intensas_Semana,EE_Exaustao,C_Cinismo,EP_Eficacia,Risco_Score,TARGET_Risco_Burnout
50,Feminino,Educação,Híbrido,5,1,3,5,1,2,12.7,Moderado Risco
36,Feminino,Saúde,Híbrido,4,2,11,5,5,5,18.5,Alto Risco
29,Feminino,Financeiro,Home Office,5,4,3,5,1,3,11.7,Baixo Risco
42,Feminino,Logística,Híbrido,2,11,0,2,3,5,12.6,Moderado Risco
40,Outro,Financeiro,Híbrido,5,3,3,4,3,5,10.6,Baixo Risco
44,Feminino,Financeiro,Híbrido,5,9,4,4,5,5,15.5,Moderado Risco
32,Feminino,Tecnologia,Home Office,5,9,3,4,2,5,10.9,Baixo Risco
32,Feminino,Administrativo,Presencial,5,11,1,1,4,2,13.3,Moderado Risco
45,Masculino,Vendas/MKT,Presencial,3,8,1,4,5,2,17.5,Alto Risco
57,Feminino,Tecnologia,Híbrido,3,2,11,5,1,2,14.7,Moderado Risco
45,Masculino,Vendas/MKT,Home Office,2,0,7,2,3,1,12.6,Moderado Risco
24,Outro,Vendas/MKT,Híbrido,2,4,7,1,5,2,12.5,Moderado Risco
43,Feminino,Tecnologia,Home Office,4,7,9,2,3,4,12.1,Moderado Risco
23,Masculino,Financeiro,Presencial,2,0,7,3,5,2,15.5,Moderado Risco
45,Feminino,Educação,Híbrido,3,0,2,5,3,5,12.1,Moderado Risco
51,Masculino,Financeiro,Híbrido,2,12,3,1,2,5,7.9,Baixo Risco
59,Feminino,Vendas/MKT,Híbrido,4,5,5,5,1,4,13.2,Moderado Risco
23,Feminino,Financeiro,Home Office,4,14,6,2,5,3,16.0,Moderado Risco
42,Feminino,Tecnologia,Home Office,3,6,9,4,3,5,14.1,Moderado Risco
54,Masculino,Administrativo,Híbrido,2,13,6,3,5,5,15.5,Moderado Risco
33,Feminino,Saúde,Híbrido,4,7,2,5,1,2,16.2,Moderado Risco
43,Feminino,Vendas/MKT,Home Office,2,7,6,3,5,2,17.0,Alto Risco
46,Masculino,Tecnologia,Híbrido,2,2,1,2,4,5,8.8,Baixo Risco
48,Masculino,Saúde,Home Office,3,14,10,5,3,4,20.1,Alto Risco
49,Masculino,Financeiro,Home Office,3,3,6,4,1,5,9.2,Baixo Risco
37,Feminino,Tecnologia,Híbrido,2,8,8,3,2,2,14.4,Moderado Risco
36,Masculino,Financeiro,Home Office,5,10,3,1,4,2,13.3,Moderado Risco
24,Masculino,Tecnologia,Híbrido,5,4,11,2,5,2,15.0,Moderado Risco
58,Feminino,Logística,Presencial,1,14,4,5,5,4,21.5,Alto Risco
28,Masculino,Educação,Híbrido,1,13,4,1,4,5,11.3,Baixo Risco
42,Feminino,Tecnologia,Presencial,1,10,6,4,2,2,16.4,Moderado Risco
30,Masculino,Administrativo,Híbrido,3,13,7,4,2,3,15.4,Moderado Risco
39,Feminino,Tecnologia,Home Office,2,8,6,3,5,2,17.0,Alto Risco
25,Masculino,Saúde,Presencial,4,11,1,2,5,1,19.0,Alto Risco
46,Feminino,Educação,Presencial,2,4,2,5,2,3,12.9,Moderado Risco
35,Outro,Financeiro,Híbrido,2,4,2,1,2,2,7.9,Baixo Risco
30,Feminino,Financeiro,Híbrido,1,8,7,5,2,1,17.4,Alto Risco
47,Outro,Tecnologia,Híbrido,2,5,10,1,5,4,13.0,Moderado Risco
23,Masculino,Vendas/MKT,Híbrido,1,2,5,2,3,1,12.6,Moderado Risco
41,Feminino,Educação,Presencial,2,11,5,4,4,5,15.8,Moderado Risco
49,Masculino,Tecnologia,Presencial,4,4,6,4,2,5,10.4,Baixo Risco
28,Outro,Financeiro,Home Office,5,0,2,5,5,4,15.5,Moderado Risco
29,Feminino,Vendas/MKT,Presencial,5,8,0,5,1,4,12.2,Moderado Risco
56,Feminino,Logística,Híbrido,3,9,6,3,5,4,17.0,Alto Risco
35,Masculino,Tecnologia,Home Office,4,13,11,1,3,1,15.1,Moderado Risco
38,Feminino,Financeiro,Home Office,2,9,3,3,3,1,14.6,Moderado Risco
57,Feminino,Saúde,Presencial,4,10,9,1,2,4,12.9,Moderado Risco
25,Feminino,Logística,Híbrido,2,6,0,2,4,1,16.3,Moderado Risco
23,Feminino,Vendas/MKT,Home Office,4,0,3,5,5,5,14.5,Moderado Risco
27,Feminino,Financeiro,Híbrido,4,13,2,1,4,2,13.3,Moderado Risco
25,Feminino,Financeiro,Home Office,5,10,0,4,1,3,13.2,Moderado Risco
50,Masculino,Administrativo,Híbrido,4,10,2,2,4,4,12.8,Moderado Risco
39,Masculino,Logística,Presencial,3,3,3,4,4,5,13.8,Moderado Risco
47,Feminino,Logística,Híbrido,2,1,6,2,2,1,13.4,Moderado Risco
55,Masculino,Saúde,Híbrido,1,2,9,1,1,3,9.7,Baixo Risco
31,Masculino,Educação,Híbrido,4,3,0,4,3,4,11.6,Baixo Risco
57,Outro,Logística,Presencial,1,11,1,1,4,1,16.3,Moderado Risco
35,Feminino,Financeiro,Presencial,5,13,7,3,1,1,14.7,Moderado Risco
52,Feminino,Administrativo,Home Office,1,1,6,2,1,3,8.2,Baixo Risco
36,Masculino,Administrativo,Presencial,3,9,1,5,3,1,17.6,Alto Risco
29,Masculino,Vendas/MKT,Presencial,3,0,5,4,2,3,12.4,Moderado Risco
35,Masculino,Logística,Home Office,5,10,7,1,1,5,9.7,Baixo Risco
44,Masculino,Financeiro,Híbrido,3,3,2,4,3,4,11.6,Baixo Risco
42,Feminino,Tecnologia,Presencial,2,8,6,1,5,1,15.0,Moderado Risco
37,Masculino,Saúde,Híbrido,3,13,4,3,1,2,15.7,Moderado Risco
